
First run with 10x10 grid

{bl:2102.61,   br:1237.13,   tr:1803.58,   tl:2484.62},
{bl:2073.45,   br:1188.40,   tr:1886.36,   tl:2544.76},
{bl:2632.80,   br:1756.77,   tr:1075.36,   tl:2243.58},
{bl:2562.71,   br:1648.03,   tr:1151.30,   tl:2282.47},
{bl:2496.13,   br:1542.90,   tr:1237.87,   tl:2327.08},
{bl:2447.06,   br:1461.52,   tr:1311.10,   tl:2366.55},
{bl:2399.52,   br:1381.85,   tr:1387.65,   tl:2410.05},
{bl:2355.93,   br:1307.22,   tr:1466.91,   tl:2456.48},
{bl:2318.43,   br:1236.28,   tr:1548.40,   tl:2505.93},
{bl:2283.40,   br:1170.12,   tr:1632.37,   tl:2558.56},
{bl:2250.97,   br:1107.84,   tr:1717.91,   tl:2613.89},
{bl:2225.05,   br:1052.72,   tr:1804.85,   tl:2671.69},

(-1.2775505926851451, 2125.411304076909), (3036.051941957454, 2127.91394620096)
 (0, 0), (3041.4964766419607, 0) with fitness: 0.7912996736803332


Second run with larger grid:

{bl:1674.18,   br:2758.47,   tr:2389.31,   tl:962.92},
{bl:1561.92,   br:2693.07,   tr:2426.10,   tl:1049.24},
{bl:1452.22,   br:2627.58,   tr:2467.92,   tl:1142.81},
{bl:1367.38,   br:2581.19,   tr:2505.33,   tl:1221.54},
{bl:1281.66,   br:2539.63,   tr:2546.29,   tl:1302.91},
{bl:1200.83,   br:2499.34,   tr:2590.15,   tl:1387.23},
{bl:1123.73,   br:2462.94,   tr:2637.14,   tl:1473.43},
{bl:1050.54,   br:2428.55,   tr:2687.47,   tl:1561.50},
{bl:981.95,   br:2399.52,   tr:2740.21,   tl:1650.42},
{bl:917.63,   br:2375.30,   tr:2795.67,   tl:1740.60},
{bl:1751.73,   br:2629.36,   tr:2235.70,   tl:1085.75},
{bl:1643.39,   br:2559.78,   tr:2275.09,   tl:1163.14},
{bl:1539.97,   br:2494.57,   tr:2319.38,   tl:1247.73},
{bl:1457.97,   br:2442.73,   tr:2359.29,   tl:1320.72},
{bl:1379.32,   br:2396.34,   tr:2402.50,   tl:1396.46},
{bl:1304.32,   br:2355.36,   tr:2449.27,   tl:1475.32},
{bl:1233.62,   br:2317.21,   tr:2499.05,   tl:1556.47},
{bl:1167.11,   br:2281.59,   tr:2551.87,   tl:1640.00},
{bl:1104.12,   br:2250.44,   tr:2607.52,   tl:1725.00},
{bl:1047.14,   br:2225.30,   tr:2665.42,   tl:1811.33},
{bl:1840.39,   br:2504.11,   tr:2082.28,   tl:1217.07},
{bl:1736.33,   br:2428.14,   tr:2124.76,   tl:1286.67},
{bl:1638.20,   br:2358.95,   tr:2172.61,   tl:1363.79},
{bl:1562.05,   br:2306.54,   tr:2215.02,   tl:1430.76},
{bl:1488.67,   br:2257.32,   tr:2261.26,   tl:1500.75},
{bl:1418.12,   br:2213.27,   tr:2310.96,   tl:1574.62},
{bl:1352.21,   br:2172.07,   tr:2363.64,   tl:1650.83},
{bl:1291.79,   br:2132.73,   tr:2419.33,   tl:1729.64},
{bl:1235.36,   br:2101.39,   tr:2477.70,   tl:1810.53},
{bl:1186.48,   br:2072.03,   tr:2538.82,   tl:1893.33},
{bl:1933.26,   br:2379.94,   tr:1931.47,   tl:1355.03},
{bl:1836.70,   br:2302.30,   tr:1976.64,   tl:1417.28},
{bl:1742.87,   br:2228.97,   tr:2027.80,   tl:1487.95},
{bl:1672.74,   br:2171.99,   tr:2073.37,   tl:1549.51},
{bl:1604.02,   br:2121.42,   tr:2122.55,   tl:1614.69},
{bl:1540.36,   br:2071.64,   tr:2175.44,   tl:1683.11},
{bl:1479.73,   br:2029.11,   tr:2231.25,   tl:1754.68},
{bl:1423.61,   br:1988.24,   tr:2290.07,   tl:1828.98},
{bl:1370.52,   br:1954.47,   tr:2351.96,   tl:1905.63},
{bl:1326.85,   br:1922.11,   tr:2415.95,   tl:1984.31},
{bl:2040.15,   br:2259.48,   tr:1780.81,   tl:1497.38},
{bl:1944.36,   br:2177.13,   tr:1830.75,   tl:1553.48},
{bl:1856.89,   br:2099.65,   tr:1885.67,   tl:1618.52},
{bl:1791.23,   br:2042.23,   tr:1934.60,   tl:1674.63},
{bl:1725.51,   br:1986.84,   tr:1987.03,   tl:1735.57},
{bl:1666.01,   br:1934.19,   tr:2043.50,   tl:1799.42},
{bl:1610.67,   br:1888.25,   tr:2102.56,   tl:1866.56},
{bl:1559.41,   br:1841.95,   tr:2165.39,   tl:1936.78},
{bl:1512.62,   br:1805.43,   tr:2230.24,   tl:2009.40},
{bl:1472.62,   br:1770.79,   tr:2298.09,   tl:2083.91},
{bl:2148.01,   br:2146.06,   tr:1633.27,   tl:1642.37},
{bl:2060.38,   br:2058.43,   tr:1685.35,   tl:1695.04},
{bl:1977.58,   br:1975.57,   tr:1745.41,   tl:1754.58},
{bl:1916.05,   br:1913.51,   tr:1797.52,   tl:1806.71},
{bl:1856.42,   br:1854.29,   tr:1854.39,   tl:1863.30},
{bl:1801.47,   br:1798.47,   tr:1914.41,   tl:1923.15},
{bl:1749.27,   br:1747.73,   tr:1977.65,   tl:1986.21},
{bl:1699.88,   br:1701.78,   tr:2043.76,   tl:2052.14},
{bl:1657.28,   br:1659.26,   tr:2112.68,   tl:2121.10},
{bl:1619.51,   br:1623.59,   tr:2184.06,   tl:2192.02},
{bl:2263.24,   br:2038.70,   tr:1487.00,   tl:1789.74},
{bl:2180.14,   br:1945.77,   tr:1544.87,   tl:1838.21},
{bl:2101.03,   br:1858.69,   tr:1609.45,   tl:1894.75},
{bl:2040.96,   br:1790.80,   tr:1666.25,   tl:1942.22},
{bl:1986.88,   br:1726.88,   tr:1727.33,   tl:1995.06},
{bl:1936.14,   br:1666.91,   tr:1791.52,   tl:2050.76},
{bl:1887.60,   br:1611.25,   tr:1858.88,   tl:2110.18},
{bl:1845.24,   br:1559.90,   tr:1929.31,   tl:2172.23},
{bl:1806.70,   br:1513.02,   tr:2002.20,   tl:2237.44},
{bl:1773.02,   br:1472.27,   tr:2077.09,   tl:2304.74},
{bl:2380.33,   br:1931.98,   tr:1346.80,   tl:1940.09},
{bl:2306.58,   br:1839.66,   tr:1405.87,   tl:1984.53},
{bl:2228.97,   br:1744.56,   tr:1478.54,   tl:2036.08},
{bl:2173.34,   br:1674.37,   tr:1540.65,   tl:2081.04},
{bl:2121.82,   br:1604.73,   tr:1605.95,   tl:2130.21},
{bl:2073.29,   br:1539.97,   tr:1675.25,   tl:2182.65},
{bl:2028.15,   br:1480.68,   tr:1747.16,   tl:2238.52},
{bl:1989.20,   br:1424.36,   tr:1821.74,   tl:2297.03},
{bl:1953.45,   br:1373.28,   tr:1898.84,   tl:2358.53},
{bl:1922.47,   br:1329.19,   tr:1977.77,   tl:2422.90},
{bl:2507.75,   br:1845.06,   tr:1206.81,   tl:2091.02},
{bl:2430.74,   br:1739.82,   tr:1276.90,   tl:2132.62},
{bl:2362.13,   br:1639.04,   tr:1353.95,   tl:2180.56},
{bl:2308.56,   br:1564.68,   tr:1421.43,   tl:2222.67},
{bl:2258.81,   br:1491.03,   tr:1492.06,   tl:2268.71},
{bl:2213.84,   br:1420.75,   tr:1566.49,   tl:2317.97},
{bl:2172.81,   br:1354.92,   tr:1643.02,   tl:2370.62},
{bl:2135.52,   br:1293.75,   tr:1722.15,   tl:2426.36},
{bl:2101.95,   br:1237.11,   tr:1803.50,   tl:2484.34},
{bl:2072.99,   br:1188.07,   tr:1886.24,   tl:2545.50},
{bl:2633.09,   br:1757.05,   tr:1074.88,   tl:2243.44},
{bl:2562.76,   br:1648.14,   tr:1152.24,   tl:2282.79},
{bl:2495.59,   br:1542.77,   tr:1237.83,   tl:2327.06},
{bl:2446.69,   br:1460.86,   tr:1311.29,   tl:2366.61},
{bl:2399.05,   br:1384.44,   tr:1387.80,   tl:2409.79},
{bl:2356.94,   br:1307.30,   tr:1466.99,   tl:2456.53},
{bl:2317.48,   br:1237.15,   tr:1548.63,   tl:2506.08},
{bl:2282.56,   br:1170.34,   tr:1632.21,   tl:2558.63},
{bl:2250.46,   br:1107.64,   tr:1717.75,   tl:2614.12},
{bl:2224.70,   br:1053.47,   tr:1804.75,   tl:2671.76},

(-1.639147982037378, 2128.4314646585512), (3033.2235866981528, 2131.949568552577)
 (0, 0), (3038.5630396604274, 0) Fitness: 0.759500200124676



